Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,Y,Yb,Zn,Zr,AR,RS,Va,delta,EN,G,calculate G,K,calculate K,KG,KK
0,0,0,0,22.05,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,2,0,0,40.18,144.867,0.017805683,14.0396384,0.184881628,-0.352827,40.2,14.82425844,,88.02809204,0.608363433,0.004927017
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,25,150,0.010169176,15.10163589,0.147572957,-0.223,40.2,11.26487218,108.7,88.43405208,0.787857323,0.004497033
0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,2,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,27.6,149.74,0.009583066,14.96820407,0.143268517,-0.22784,39.8,11.89648451,131.2,89.22665458,0.782010896,0.004552514
0,5,0,0,27.5,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,148.75,0.025981896,15.81433236,0.222046003,-0.36025,39.7,8.210000214,98.3,73.0202633,0.590197448,0.004157311
0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,27.6,149.64,0.009642372,14.94444316,0.143743481,-0.23384,39.6,11.90184777,132.3,88.97462574,0.773682083,0.004560268
0,0,0,0,22.5,1,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,41,143.5,0.019687259,13.73891771,0.192112178,-0.33975,39.5,NA,130.4,88.17128017,0.621741301,0.005087608
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,27.6,149.64,0.009642372,14.94444316,0.143743481,-0.23344,39.5,11.94549753,107.3,89.48011525,0.774231814,0.004560443
0,0,0,0,30,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,20,155,0.030309035,18.07803313,0.233731883,-0.351,39.2,5.900317615,114.5,65.11249284,0.59586996,0.003438276
0,10,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,139.5,0.009107922,11.92124456,0.129181515,-0.3625,38.8,40.69205448,110.9,102.2658227,0.607211421,0.006204168
0,0,0,0,22.5,0,0,0,0,0,12.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,41,144.65,0.017464695,13.94641467,0.182825761,-0.35415,38.7,14.71616923,109.8,89.87336953,0.607203428,0.004973154
0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0.008453947,10.0329903,0.121212121,0.2388,37.9,NA,169.8,44.09452945,0.791735467,0.008624437
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.8,0.007188131,9.272641101,0.112660603,0.1124,37.9,NA,169.8,44.19642857,0.946212918,0.009505575
0,0,0,0,0,0,0,0,0,0,50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,13,154.65,0.011987896,16.7057488,0.158867325,-0.16034,37.4,7.943409766,115.1,79.37965647,0.869549504,0.003911598
0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,143.25,0.004182742,12.6117195,0.090329943,-0.3679,37.4,35.47209635,126.5,95.9657156,0.606651315,0.005726251
0,0,0,0,27.5,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0,0,0,0,46.75,140.6375,0.017242747,12.79965089,0.181600173,-0.379325,37.2,20.57927566,111.9,95.80600488,0.578470803,0.005600671
0,0,0,0,26.25,0,0,0,0,0,10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,45.4,141.485,0.017360778,13.04514986,0.18242746,-0.371425,37,18.76944208,111.9,94.21822694,0.587276778,0.005456956
0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,20,146.5,0.006130619,13.73624736,0.116291638,-0.202,36.9,17.35863235,128.2,102.1125675,0.822097895,0.005162353
0,0,0,0,27.5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,33.5,146.65,0.023585291,15.00031429,0.212569696,-0.3489,36.8,9.893728083,113,79.52269387,0.606176863,0.004486559
